Player Type,Player Name,Team,IsPlaying,lineupOrder,Match Number,Team 1,Team 2,Credits,AverageCredits,CreditWeightage
ALL,Aaron Hardie,PBKS,NOT_PLAYING,0.0,,,,7.0,6.666666666666667,6.8999999999999995
BAT,Abdul Samad,LSG,PLAYING,7.0,,,,6.5,6.5,6.5
BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0.0,,,,5.0,5.0,5.0
BAT,Abhinav Manohar,SRH,PLAYING,7.0,,,,6.5,6.214285714285714,6.414285714285715
ALL,Abhishek Sharma,SRH,PLAYING,2.0,,,,8.5,8.428571428571429,8.478571428571428
WK,Abishek Porel,DC,PLAYING,2.0,,,,7.0,6.75,6.924999999999999
BOWL,Adam Zampa,SRH,X_FACTOR_SUBSTITUTE,15.0,,,,7.5,7.357142857142857,7.457142857142857
ALL,Aiden Markram,LSG,PLAYING,4.0,,,,8.0,7.928571428571429,7.978571428571428
ALL,Ajay Mandal,DC,NOT_PLAYING,0.0,,,,6.5,5.833333333333333,6.3
BAT,Ajinkya Rahane,KKR,PLAYING,4.0,,,,8.5,7.714285714285714,8.264285714285712
BOWL,Akash Deep,LSG,NOT_PLAYING,0.0,,,,7.0,7.0,7.0
BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,15.0,,,,6.0,6.642857142857143,6.192857142857142
BOWL,Akash Singh,LSG,NOT_PLAYING,0.0,,,,6.0,5.928571428571429,5.978571428571428
All Rounder,Anand-Singh,PNS,PLAYING,3.0,,,,6.5,6.5,6.5
Batsmen,Andre McIntosh McCarthy,PNS,NOT_PLAYING,0.0,,,,8.0,8.0,8.0
ALL,Andre Russell,KKR,PLAYING,7.0,,,,8.5,8.214285714285714,8.414285714285713
BAT,Andre Siddharth,CHE,NOT_PLAYING,0.0,,,,5.5,5.5,5.5
BAT,Angkrish Raghuvanshi,KKR,PLAYING,5.0,,,,6.5,6.714285714285714,6.564285714285714
BAT,Aniket Verma,SRH,PLAYING,5.0,,,,6.5,6.0,6.35
BOWL,Anrich Nortje,KKR,NOT_PLAYING,0.0,,,,7.5,7.357142857142857,7.457142857142857
BOWL,Anshul Kamboj,CHE,NOT_PLAYING,0.0,,,,6.0,6.071428571428571,6.0214285714285705
WK,Anuj Rawat,GT,X_FACTOR_SUBSTITUTE,14.0,,,,6.5,6.5,6.5
ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,15.0,,,,6.0,6.0,5.999999999999999
BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0.0,,,,5.0,5.0,5.0
ALL,Arshad Khan,GT,NOT_PLAYING,0.0,,,,6.0,6.083333333333333,6.024999999999999
BOWL,Arshdeep Singh,PBKS,PLAYING,10.0,,,,8.5,8.5,8.5
ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0.0,,,,6.0,6.0,5.999999999999999
WK,Aryan Juyal,LSG,NOT_PLAYING,0.0,,,,5.5,5.5,5.5
BOWL,Ashok Sharma,RR,NOT_PLAYING,0.0,,,,5.0,5.0,5.0
BAT,Ashutosh Sharma,DC,PLAYING,6.0,,,,7.5,7.416666666666667,7.475
BOWL,Ashwani Kumar,MI,PLAYING,9.0,,,,6.5,6.071428571428571,6.371428571428571
BAT,Atharva Taide,SRH,NOT_PLAYING,0.0,,,,6.0,6.214285714285714,6.064285714285713
BOWL,Avesh Khan,LSG,PLAYING,10.0,,,,8.0,7.857142857142857,7.957142857142856
ALL,Axar Patel,DC,PLAYING,5.0,,,,8.0,8.5,8.149999999999999
All Rounder,Ayan Khan,PNS,PLAYING,5.0,,,,7.0,7.0,7.0
BAT,Ayush Badoni,LSG,PLAYING,5.0,,,,7.0,7.0,7.0
ALL,Azmatullah Omarzai,PBKS,NOT_PLAYING,0.0,,,,7.5,7.166666666666667,7.4
BAT,Bevon Jacobs,MI,NOT_PLAYING,0.0,,,,6.0,6.0,5.999999999999999
BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9.0,,,,8.0,8.0,8.0
Wicket Keeper,Brendan Taylor,DG,PLAYING,5.0,,,,7.5,7.5,7.5
BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0.0,,,,6.0,5.928571428571429,5.978571428571428
ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,13.0,,,,6.0,6.0,5.999999999999999
Batsmen,Danza Hyatt,PNS,NOT_PLAYING,0.0,,,,6.5,6.5,6.5
BOWL,Darshan Nalkande,DC,X_FACTOR_SUBSTITUTE,14.0,,,,6.0,6.166666666666667,6.049999999999999
Bowlers,Dave Mohammed,PNS,PLAYING,9.0,,,,7.5,7.5,7.5
BAT,David Miller,LSG,PLAYING,6.0,,,,8.0,7.857142857142857,7.957142857142856
BOWL,Deepak Chahar,MI,PLAYING,8.0,,,,7.5,7.785714285714286,7.585714285714285
BAT,Deepak Hooda,CHE,PLAYING,4.0,,,,7.0,6.714285714285714,6.914285714285714
All Rounder,Deepansh Kumar,DG,NOT_PLAYING,0.0,,,,6.5,6.5,6.5
BAT,Devdutt Padikkal,RCB,PLAYING,3.0,,,,7.0,7.0,7.0
WK,Devon Conway,CHE,PLAYING,2.0,,,,7.5,7.642857142857143,7.542857142857143
WK,Dhruv Jurel,RR,PLAYING,5.0,,,,7.5,7.571428571428571,7.521428571428571
BOWL,Digvesh Singh,LSG,PLAYING,9.0,,,,6.5,6.214285714285714,6.414285714285715
