Match Number,Team 1,Team 2,Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
,,,6.5,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0.0
,,,6.5,BAT,Abdul Samad,LSG,PLAYING,7.0
,,,5.0,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0.0
,,,6.5,BAT,Abhinav Manohar,SRH,PLAYING,7.0
,,,8.5,ALL,Abhishek Sharma,SRH,PLAYING,1.0
,,,7.0,WK,Abishek Porel,DC,X_FACTOR_SUBSTITUTE,12.0
,,,7.5,BOWL,Adam Zampa,SRH,NOT_PLAYING,0.0
,,,7.5,ALL,Aiden Markram,LSG,PLAYING,2.0
,,,6.0,ALL,Ajay Mandal,DC,NOT_PLAYING,0.0
,,,8.0,BAT,Ajinkya Rahane,KKR,PLAYING,4.0
,,,7.0,BOWL,Akash Deep,LSG,PLAYING,10.0
,,,7.0,BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,13.0
,,,6.0,BOWL,Akash Singh,LSG,NOT_PLAYING,0.0
,,,6.5,All Rounder,Anand-Singh,PNS,PLAYING,3.0
,,,8.0,Batsmen,Andre McIntosh McCarthy,PNS,NOT_PLAYING,0.0
,,,8.0,ALL,Andre Russell,KKR,PLAYING,6.0
,,,5.5,BAT,Andre Siddharth,CHE,NOT_PLAYING,0.0
,,,7.0,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,13.0
,,,7.0,BAT,Aniket Verma,SRH,PLAYING,6.0
,,,7.5,BOWL,Anrich Nortje,KKR,X_FACTOR_SUBSTITUTE,12.0
,,,6.0,BOWL,Anshul Kamboj,CHE,NOT_PLAYING,0.0
,,,6.5,WK,Anuj Rawat,GT,X_FACTOR_SUBSTITUTE,14.0
,,,6.0,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,14.0
,,,5.0,BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0.0
,,,6.5,ALL,Arshad Khan,GT,X_FACTOR_SUBSTITUTE,13.0
,,,8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,10.0
,,,6.0,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0.0
,,,5.5,WK,Aryan Juyal,LSG,NOT_PLAYING,0.0
,,,5.0,BOWL,Ashok Sharma,RR,NOT_PLAYING,0.0
,,,7.5,BAT,Ashutosh Sharma,DC,PLAYING,7.0
,,,5.5,BOWL,Ashwani Kumar,MI,X_FACTOR_SUBSTITUTE,13.0
,,,6.0,BAT,Atharva Taide,SRH,NOT_PLAYING,0.0
,,,8.0,BOWL,Avesh Khan,LSG,PLAYING,9.0
,,,8.0,ALL,Axar Patel,DC,PLAYING,5.0
,,,7.0,All Rounder,Ayan Khan,PNS,PLAYING,5.0
,,,7.0,BAT,Ayush Badoni,LSG,PLAYING,5.0
,,,7.5,ALL,Azmatullah Omarzai,PBKS,PLAYING,8.0
,,,6.0,BAT,Bevon Jacobs,MI,NOT_PLAYING,0.0
,,,8.0,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9.0
,,,7.5,Wicket Keeper,Brendan Taylor,DG,PLAYING,5.0
,,,6.0,BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0.0
,,,6.0,ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,13.0
,,,6.5,Batsmen,Danza Hyatt,PNS,NOT_PLAYING,0.0
,,,6.5,BOWL,Darshan Nalkande,DC,X_FACTOR_SUBSTITUTE,16.0
,,,7.5,Bowlers,Dave Mohammed,PNS,PLAYING,9.0
,,,8.0,BAT,David Miller,LSG,PLAYING,6.0
,,,7.5,BOWL,Deepak Chahar,MI,PLAYING,8.0
,,,7.0,BAT,Deepak Hooda,CHE,PLAYING,4.0
,,,6.5,All Rounder,Deepansh Kumar,DG,NOT_PLAYING,0.0
,,,7.0,BAT,Devdutt Padikkal,RCB,PLAYING,3.0
,,,8.0,WK,Devon Conway,CHE,NOT_PLAYING,0.0
,,,7.5,WK,Dhruv Jurel,RR,PLAYING,5.0
,,,7.0,BOWL,Digvesh Singh,LSG,PLAYING,11.0
,,,7.0,ALL,Donovan Ferreira,DC,X_FACTOR_SUBSTITUTE,14.0
,,,7.0,BOWL,Dushmantha Chameera,DC,NOT_PLAYING,0.0
,,,6.0,BOWL,Eshan Malinga,SRH,NOT_PLAYING,0.0
,,,8.5,BAT,Faf du Plessis,DC,PLAYING,1.0
,,,7.0,BOWL,FazalHaq Farooqi,RR,X_FACTOR_SUBSTITUTE,14.0
,,,7.0,BOWL,Gerald Coetzee,GT,NOT_PLAYING,0.0
,,,8.5,ALL,Glenn Maxwell,PBKS,PLAYING,4.0
,,,7.5,BAT,Glenn Phillips,GT,X_FACTOR_SUBSTITUTE,13.0
,,,6.0,BOWL,Gurjapneet Singh,CHE,NOT_PLAYING,0.0
