Match Number,Team 1,Team 2,Player Type,Player Name,Team,IsPlaying,lineupOrder,Credits,AverageCredits,CreditWeightage
,,,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0.0,7.0,6.666666666666667,6.8999999999999995
,,,BAT,Abdul Samad,LSG,PLAYING,8.0,6.5,6.5,6.5
,,,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BAT,Abhinav Manohar,SRH,X_FACTOR_SUBSTITUTE,12.0,6.0,6.25,6.074999999999999
,,,ALL,Abhishek Sharma,SRH,PLAYING,1.0,8.5,8.416666666666666,8.475
,,,WK,Abishek Porel,DC,PLAYING,3.0,6.5,6.7,6.56
,,,BOWL,Adam Zampa,SRH,NOT_PLAYING,0.0,7.0,7.416666666666667,7.125
,,,ALL,Aiden Markram,LSG,PLAYING,1.0,8.0,7.928571428571429,7.978571428571428
,,,ALL,Ajay Mandal,DC,NOT_PLAYING,0.0,5.5,5.9,5.619999999999999
,,,BAT,Ajinkya Rahane,KKR,PLAYING,4.0,8.5,7.714285714285714,8.264285714285712
,,,BOWL,Akash Deep,LSG,PLAYING,10.0,7.0,7.0,7.0
,,,BOWL,Akash Madhwal,RR,X_FACTOR_SUBSTITUTE,16.0,7.0,6.75,6.924999999999999
,,,BOWL,Akash Singh,LSG,NOT_PLAYING,0.0,6.0,5.928571428571429,5.978571428571428
,,,All Rounder,Anand-Singh,PNS,PLAYING,3.0,6.5,6.5,6.5
,,,Batsmen,Andre McIntosh McCarthy,PNS,NOT_PLAYING,0.0,8.0,8.0,8.0
,,,ALL,Andre Russell,KKR,PLAYING,6.0,8.0,8.214285714285714,8.064285714285713
,,,BAT,Andre Siddharth,CHE,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,14.0,6.5,6.714285714285714,6.564285714285714
,,,BAT,Aniket Verma,SRH,PLAYING,6.0,5.0,5.833333333333333,5.25
,,,BOWL,Anrich Nortje,KKR,NOT_PLAYING,0.0,7.5,7.357142857142857,7.457142857142857
,,,BOWL,Anshul Kamboj,CHE,NOT_PLAYING,0.0,6.0,6.071428571428571,6.0214285714285705
,,,WK,Anuj Rawat,GT,X_FACTOR_SUBSTITUTE,15.0,6.5,6.5,6.5
,,,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,14.0,6.0,6.0,5.999999999999999
,,,BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,ALL,Arshad Khan,GT,PLAYING,7.0,5.5,6.083333333333333,5.674999999999999
,,,BOWL,Arshdeep Singh,PBKS,PLAYING,10.0,8.5,8.5,8.5
,,,ALL,Arshin Kulkarni,LSG,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,WK,Aryan Juyal,LSG,NOT_PLAYING,0.0,5.5,5.5,5.5
,,,BOWL,Ashok Sharma,RR,NOT_PLAYING,0.0,5.0,5.0,5.0
,,,BAT,Ashutosh Sharma,DC,X_FACTOR_SUBSTITUTE,13.0,7.5,7.4,7.470000000000001
,,,BOWL,Ashwani Kumar,MI,X_FACTOR_SUBSTITUTE,13.0,5.5,6.0,5.6499999999999995
,,,BAT,Atharva Taide,SRH,NOT_PLAYING,0.0,6.0,6.25,6.074999999999999
,,,BOWL,Avesh Khan,LSG,PLAYING,11.0,7.5,7.857142857142857,7.607142857142857
,,,ALL,Axar Patel,DC,PLAYING,4.0,8.5,8.6,8.53
,,,All Rounder,Ayan Khan,PNS,PLAYING,5.0,7.0,7.0,7.0
,,,BAT,Ayush Badoni,LSG,X_FACTOR_SUBSTITUTE,12.0,7.0,7.0,7.0
,,,ALL,Azmatullah Omarzai,PBKS,X_FACTOR_SUBSTITUTE,15.0,7.0,7.166666666666667,7.049999999999999
,,,BAT,Bevon Jacobs,MI,NOT_PLAYING,0.0,6.0,6.0,5.999999999999999
,,,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9.0,8.0,8.0,8.0
,,,Wicket Keeper,Brendan Taylor,DG,PLAYING,5.0,7.5,7.5,7.5
,,,BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0.0,6.0,5.928571428571429,5.978571428571428
,,,ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,15.0,6.0,6.0,5.999999999999999
,,,Batsmen,Danza Hyatt,PNS,NOT_PLAYING,0.0,6.5,6.5,6.5
